,,,,,,,,,,,,,,,A4,B4,D4+E4,J4+K4,C4+F4,I4+L4,(M4/G4-1)*100,(N4/H4-1)*100,,
,,Pre,,,,,,Pre,,,,,,,,,HO Create,,HO Use,,,,,
Program,Min n,HO Apps,Lambdas,Under-Sat calls,Over-Sat calls,Functions,Nodes,HO Apps,Lambdas,Under-Sat calls,Over-Sat calls,Functions,Nodes,,Name,Bound,Pre,Post,Pre,Post,Functions,Nodes,,
bernouilli,4,28,0,240,162,527,5816,2,0,0,0,373,3825,,bernouilli,4,240,0,190,2,-29,-34,-32,
digits-of-e1,4,25,0,217,128,494,5209,2,0,0,0,325,3329,,digits-of-e1,4,217,0,153,2,-34,-36,-35,
digits-of-e2,5,28,0,236,170,535,5734,2,0,0,1,376,3762,,digits-of-e2,5,236,0,198,3,-30,-34,-32,
exp3_8,4,26,0,232,128,479,4940,2,0,0,0,294,2950,,exp3_8,4,232,0,154,2,-39,-40,-39,
gen_regexps,7,19,0,116,50,251,2153,0,0,0,0,173,1467,,gen_regexps,7,116,0,69,0,-31,-32,-31,
integrate,4,39,0,348,319,809,10107,2,0,0,0,477,6608,,integrate,4,348,0,358,2,-41,-35,-38,
paraffins,4,27,0,360,324,839,10643,2,0,0,0,428,4598,,paraffins,4,360,0,351,2,-49,-57,-53,
primes,4,28,0,217,120,493,5054,2,0,0,0,310,3078,,primes,4,217,0,148,2,-37,-39,-38,
queens,4,26,0,217,120,485,5027,2,0,0,0,304,3081,,queens,4,217,0,146,2,-37,-39,-38,
rfib,4,27,0,338,328,805,10170,2,0,0,0,534,7286,,rfib,4,338,0,355,2,-34,-28,-31,
tak,4,25,0,212,120,478,4950,4,0,0,0,292,2964,,tak,4,212,0,145,4,-39,-40,-40,
wheel-sieve1,4,27,0,224,124,508,5295,2,0,0,0,330,3401,,wheel-sieve1,4,224,0,151,2,-35,-36,-35,
wheel-sieve2,4,26,0,224,136,504,5390,2,0,0,0,325,3415,,wheel-sieve2,4,224,0,162,2,-36,-37,-36,
x2n1,4,27,0,345,358,819,10522,2,0,0,0,384,4166,,x2n1,4,345,0,385,2,-53,-60,-57,
,,,,,,,,,,,,,,,Minimum,2,60,0,46,0,-75,-80,-78,
,,,,,,,,,,,,,,,Average,4.80,237.88,0.06,202.20,3.55,-32.57,-32.43,-32.50,
,,,,,,,,,,,,,,,Maximum,14,437,1,449,100,2,28,15,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ansi,4,36,0,239,151,534,5654,1,0,0,1,392,3875,,ansi,4,239,0,187,2,-27,-31,,
atom,4,29,0,413,345,921,10913,2,0,0,0,473,6328,,atom,4,413,0,374,2,-49,-42,,
awards,5,31,0,259,214,596,6692,1,0,0,1,427,4401,,awards,5,259,0,245,2,-28,-34,,
banner,5,19,0,84,28,426,3090,0,0,0,0,372,2375,,banner,5,84,0,47,0,-13,-23,,
boyer,4,25,0,223,126,538,8508,1,0,0,0,343,6476,,boyer,2,223,0,151,1,-36,-24,,
boyer2,2,12,0,75,34,340,3079,0,0,0,0,267,2298,,boyer2,5,75,0,46,0,-21,-25,,
cichelli,5,19,0,135,115,380,3684,0,0,0,1,300,2622,,cichelli,5,135,0,134,1,-21,-29,,
circsim,4,39,0,319,296,642,7481,3,0,0,0,510,5736,,circsim,4,319,0,335,3,-21,-23,,
clausify,7,27,0,244,141,537,6034,1,0,0,0,338,3699,,clausify,7,244,0,168,1,-37,-39,,
compreals,4,33,0,239,224,724,13006,0,0,0,0,553,11809,,compreals,4,239,0,257,0,-24,-9,,
constraints,5,41,0,329,146,564,6054,3,1,0,0,463,4668,,constraints,5,329,1,187,3,-18,-23
cryptarithm1,4,16,0,84,48,195,1686,0,0,0,0,114,971,,cryptarithm1,4,84,0,64,0,-42,-42
eliza,8,23,0,109,35,420,3401,0,0,0,0,386,2841,,eliza,8,109,0,58,0,-8,-16
expert,3,31,0,225,139,551,5843,0,0,0,0,384,3933,,expert,3,225,0,170,0,-30,-33
fft2,6,31,0,437,418,908,12261,1,0,0,0,664,9192,,fft2,6,437,0,449,1,-27,-25
fish,5,22,0,163,115,333,4126,0,0,0,0,161,2987,,fish,5,163,0,137,0,-52,-28
gcd,4,25,0,216,143,484,5188,1,0,0,0,312,3240,,gcd,4,216,0,168,1,-36,-38
integer,14,25,0,226,120,458,5123,4,1,0,1,468,6533,,integer,14,226,1,145,5,2,28
lambda,9,36,0,327,259,661,7342,0,0,0,1,482,5101,,lambda,9,327,0,295,1,-27,-31
lcss,4,26,0,227,145,506,5484,7,0,0,0,331,3655,,lcss,4,227,0,171,7,-35,-33
life,6,21,0,126,117,305,3023,0,0,0,0,150,1437,,life,6,126,0,138,0,-51,-52
mandel,8,28,0,379,385,880,11463,0,0,0,0,524,6125,,mandel,8,379,0,413,0,-40,-47
mandel2,3,23,0,330,331,825,9805,0,0,0,1,208,1917,,mandel2,3,330,0,354,1,-75,-80
mate,4,40,0,364,169,803,9673,0,0,0,0,618,7642,,mate,4,364,0,209,0,-23,-21
minimax,4,22,0,108,55,274,2970,0,0,0,0,216,2431,,minimax,4,108,0,77,0,-21,-18
multiplier,4,41,0,269,171,579,6303,1,0,0,0,419,4467,,multiplier,4,269,0,212,1,-28,-29
para,5,31,0,248,172,453,4708,0,0,0,0,278,2552,,para,5,248,0,203,0,-39,-46
power,4,27,0,368,399,845,11023,1,0,0,0,524,7349,,power,4,368,0,426,1,-38,-33
pretty,4,24,0,62,31,196,1830,4,1,0,4,165,1948,,pretty,4,62,1,55,8,-16,6
primetest,4,27,0,223,150,538,5928,0,0,0,0,354,3816,,primetest,4,223,0,177,0,-34,-36
puzzle,5,18,0,121,73,249,2364,0,0,0,0,169,1541,,puzzle,5,121,0,91,0,-32,-35
rewrite,6,65,0,378,176,687,7951,2,0,0,0,614,6621,,rewrite,6,378,0,241,2,-11,-17
scc,4,16,0,60,36,153,1397,0,0,0,0,120,1081,,scc,4,60,0,52,0,-22,-23
sorting,3,23,0,178,118,395,4316,100,0,0,0,183,2430,,sorting,3,178,0,141,100,-54,-44
sphere,4,27,0,343,339,907,12062,2,0,0,0,525,6427,,sphere,4,343,0,366,2,-42,-47
